,제목,내용,언론사,링크
0,"하나은행, 경기도와 청년 특화 마이너스통장 개발 업무협약",하나은행은 21일 경기도와 ‘청년 상생금융’을 위한 업무협약을 체결했다고 22일 밝혔다. 하나은행은 이번 업무협약 이후 청년의 …,서울경제,https://n.news.naver.com/mnews/article/011/0004204946?sid=101
1,'앱 클릭 한번이면 내 차 최적가에 판다' 현대캐피탈 '내 차 팔기 서비스' 개시,현대캐피탈은 국내 최대 규모의 자동차 경매 전문 회사들이 경쟁을 통해 고객이 보유한 차량을 좋은 가격에 팔 수 있도록 하는 '내 …,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005030897?sid=101
2,"현대캐피탈, '내 차 팔기 서비스'에 국내 최대 규모 경매사 가격 경쟁 시스템 도입",현대캐피탈은 국내 최대 규모 자동차 경매 전문 회사들의 경쟁을 통해 고객이 보유한 차량을 가장 높은 가격에 판매할 수 있도록 돕 …,서울경제,https://n.news.naver.com/mnews/article/011/0004204944?sid=101
3,"삼성증권, 해외주식 투자지원금 지급 이벤트",삼성증권은 신규 고객 또는 2020년부터 삼성증권에서 해외주식 거래 경험이 없었던 고객을 대상으로 최대 100달러를 지원하는 이 …,뉴시스,https://n.news.naver.com/mnews/article/003/0011928582?sid=101
4,"신한카드, 짱구 디자인 '신한카드 픽 선불' 2종 출시",신한카드가 '신한카드 픽(Pick) 선불' 시리즈의 상품 2종을 출시했다고 22일 밝혔다. 이 상품은 인기 애니메이션 '짱구는 …,뉴시스,https://n.news.naver.com/mnews/article/003/0011928577?sid=101
5,"삼성카드, '삼성 iD POCKET 카드' 서비스 개편",삼성카드는 청소년 전용카드 상품인 '삼성 iD POCKET 카드'의 서비스를 개편했다고 22일 밝혔다. 삼성 iD POCKET …,데일리안,https://n.news.naver.com/mnews/article/119/0002723837?sid=101
6,"'청소년용' 삼성 iD POCKET카드, 이용가능 업종 추가에 1회 결제금액 제한 한도 없애",삼성카드는 청소년 전용카드 상품인 '삼성 iD POCKET 카드'의 서비스를 개편했다고 22일 밝혔다. '삼성 iD POCKET …,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005030893?sid=101
7,"신한은행, ‘신한 소호메이트’ 출시…“개인사업자 위한 금융비서”","신한은행은 개인사업자 고객을 대상으로 경영관리 서비스, 상권 및 트렌드 정보, 맞춤형 금융상품 정보 등을 제공하는 모바일 플랫폼 …",이데일리,https://n.news.naver.com/mnews/article/018/0005514081?sid=101
8,"엔화 환율, 지분조정에 1달러=141엔대 후반 상승 출발",일본 엔화 환율은 22일 연방준비제도(Fed 연준) 제롬 파월 의장이 미국 하원 청문회에서 예상 이상 금융긴축에 적극적인 매파적 …,뉴시스,https://n.news.naver.com/mnews/article/003/0011928576?sid=101
9,"""만 나이 시행돼도 보험계약 변함없다"", 리치앤코 ‘보미의 일기’ 통해 정보 제공","인슈어테크 GA 리치앤코(대표 한승표)는 자사의 보험 웹툰 ‘보미의 일기’에서 최근 많은 고객들이 오해를 가졌던 ‘6월, 만 나 …",디지털데일리,https://n.news.naver.com/mnews/article/138/0002150838?sid=101
10,"유준원 상상인 대표, ‘사회공헌기업대상’ 2년 연속 수상",상상인그룹은 유준원 상상인 대표가 지난 21일 열린 ‘2023 사회공헌기업대상’에서 복지 부문 2년 연속 대상을 수상했다고 22 …,파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005030891?sid=101
